,Date,Sup.,Mich.,Huron,Erie,Ont.,St.Clr
0,1995/1/1 0:00,3.29,5.02,4.5,4.7,4.08,1.87
1,1995/1/2 0:00,3.28,4.95,4.45,4.64,4.05,1.83
2,1995/1/3 0:00,3.27,4.85,4.39,4.58,4.02,1.79
3,1995/1/4 0:00,3.27,4.77,4.33,4.51,3.99,1.75
4,1995/1/5 0:00,3.22,4.63,4.18,4.28,3.97,0.04
5,1995/1/6 0:00,3.19,4.5,4.06,4.09,3.94,0
6,1995/1/7 0:00,3.14,4.36,3.9,3.89,3.92,0
7,1995/1/8 0:00,3.1,4.23,3.75,3.73,3.9,0
8,1995/1/9 0:00,3.02,4.1,3.59,3.38,3.88,0.2
9,1995/1/10 0:00,2.95,3.97,3.25,2.7,3.87,0.2
10,1995/1/11 0:00,2.89,3.86,3.03,2.31,3.85,0.2
11,1995/1/12 0:00,2.82,3.74,2.82,2.03,3.79,0.2
12,1995/1/13 0:00,2.75,3.63,2.64,1.81,3.75,0.2
13,1995/1/14 0:00,2.67,3.52,2.49,1.67,3.7,0.2
14,1995/1/15 0:00,2.57,3.41,2.35,1.57,3.66,0.2
15,1995/1/16 0:00,2.49,3.32,2.26,1.52,3.61,0.2
16,1995/1/17 0:00,2.4,3.23,2.15,1.48,3.57,0.2
17,1995/1/18 0:00,2.33,3.14,2.06,1.44,3.53,0.2
18,1995/1/19 0:00,2.26,3.03,1.99,1.42,3.49,0.2
19,1995/1/20 0:00,2.19,2.93,1.93,1.41,3.44,0.2
20,1995/1/21 0:00,2.12,2.84,1.88,1.4,3.4,0.2
21,1995/1/22 0:00,2.06,2.75,1.84,1.4,3.36,0.2
22,1995/1/23 0:00,2,2.67,1.8,1.39,3.33,0.2
23,1995/1/24 0:00,1.95,2.63,1.77,1.39,3.29,0.2
24,1995/1/25 0:00,1.9,2.59,1.75,1.38,3.25,0.2
25,1995/1/26 0:00,1.83,2.47,1.73,1.37,3.19,0.2
26,1995/1/27 0:00,1.78,2.39,1.71,1.36,3.16,0.2
27,1995/1/28 0:00,1.72,2.32,1.68,1.36,3.14,0.2
28,1995/1/29 0:00,1.67,2.25,1.66,1.36,3.13,0.2
29,1995/1/30 0:00,1.63,2.2,1.64,1.36,3.11,0.2
30,1995/1/31 0:00,1.55,2.12,1.61,0.2,3.1,0.2
31,1995/2/1 0:00,1.52,2.07,1.58,0.2,3.1,0.2
32,1995/2/2 0:00,1.48,2.02,1.56,0.2,3.11,0.2
33,1995/2/3 0:00,1.42,1.99,1.53,0.2,3.12,0.2
34,1995/2/4 0:00,1.37,1.96,1.21,0.2,3.11,0.2
